strategy,scene,num_queries,success_count,success_rate,avg_total_runtime_ms,loftr_trigger_count,loftr_trigger_rate
SuperGlue only + cache,DUC1,179,159,0.888268156424581,240.12772290051691,0,0.0
SuperGlue only + cache,DUC2,177,161,0.9096045197740112,221.4501773896443,0,0.0
SG Top5 -> LoFTR + cache,DUC1,179,170,0.9497206703910615,519.1897524926583,42,0.2346368715083799
SG Top5 -> LoFTR + cache,DUC2,177,172,0.9717514124293786,377.9360813530699,37,0.20903954802259886
SG Top10 -> LoFTR + cache,DUC1,179,172,0.9608938547486033,486.14909942652093,37,0.20670391061452514
SG Top10 -> LoFTR + cache,DUC2,177,172,0.9717514124293786,373.83519209221555,25,0.14124293785310735
SG Top20 -> LoFTR + cache,DUC1,179,173,0.9664804469273743,381.75370947681574,22,0.12290502793296089
SG Top20 -> LoFTR + cache,DUC2,177,173,0.9774011299435028,367.29576212543424,20,0.11299435028248588
SG Top40 -> LoFTR + cache,DUC1,179,174,0.9720670391061452,411.497103349519,20,0.11173184357541899
SG Top40 -> LoFTR + cache,DUC2,177,173,0.9774011299435028,402.01452430627063,16,0.0903954802259887
