strategy,feature_cache,num_queries,success_count,success_rate,avg_total_runtime_ms,avg_sg_runtime_ms,avg_loftr_runtime_ms,loftr_trigger_count,loftr_trigger_rate,avg_sg_attempts,avg_loftr_attempts,db_feature_cache_count,db_feature_precompute_runtime_ms,loftr_policy,final_stage_counts
SuperGlue only,False,356,320,0.898876404494382,365.8681710805283,365.8681710805283,0.0,0,0.0,6.935393258426966,0.0,0,0,fixed_topk,"{""SuperGlue"": 320, ""failed"": 36}"
SuperGlue only + cache,True,356,320,0.898876404494382,230.8414151605606,230.8414151605606,0.0,0,0.0,6.935393258426966,0.0,2020,25676.961704390123,fixed_topk,"{""SuperGlue"": 320, ""failed"": 36}"
LoFTR only,False,356,334,0.9382022471910112,675.8312749979871,0.0,675.8312749979871,356,1.0,0.0,6.230337078651686,0,0,fixed_topk,"{""LoFTR"": 334, ""failed"": 22}"
SG Top5 -> LoFTR + cache,True,356,342,0.9606741573033708,448.9596968979753,99.5398272467212,349.41986965125403,79,0.22191011235955055,2.317415730337079,3.308988764044944,619,6808.461601380259,fixed_topk,"{""LoFTR"": 65, ""SuperGlue"": 277, ""failed"": 14}"
SG Top10 -> LoFTR + cache,True,356,344,0.9662921348314607,430.30763426311626,128.42753342172298,301.8801008413933,62,0.17415730337078653,3.297752808988764,2.896067415730337,956,10193.796598818153,fixed_topk,"{""SuperGlue"": 294, ""LoFTR"": 50, ""failed"": 12}"
SG Top20 -> LoFTR,False,356,346,0.9719101123595506,458.3943940933239,255.28681093991702,203.1075831534069,42,0.11797752808988764,4.73314606741573,1.9887640449438202,0,0,fixed_topk,"{""SuperGlue"": 314, ""LoFTR"": 32, ""failed"": 10}"
SG Top20 -> LoFTR + cache,True,356,346,0.9719101123595506,374.5653480127862,170.37037470746847,204.19497330531772,42,0.11797752808988764,4.73314606741573,1.9887640449438202,1401,15383.787202415988,fixed_topk,"{""SuperGlue"": 314, ""LoFTR"": 32, ""failed"": 10}"
SG Top40 -> LoFTR,False,356,347,0.9747191011235955,541.956768271754,362.93654103130314,179.02022724045085,36,0.10112359550561797,6.935393258426966,1.7443820224719102,0,0,fixed_topk,"{""SuperGlue"": 320, ""LoFTR"": 27, ""failed"": 9}"
SG Top40 -> LoFTR + cache,True,356,347,0.9747191011235955,406.78245028588145,227.35702669446806,179.4254235914134,36,0.10112359550561797,6.935393258426966,1.7443820224719102,2020,21853.42049971223,fixed_topk,"{""SuperGlue"": 320, ""LoFTR"": 27, ""failed"": 9}"
Confidence dispatch + cache,True,356,336,0.9438202247191011,267.9749977528394,165.5413216292358,102.43367612360359,135,0.3792134831460674,4.935393258426966,0.8932584269662921,2020,34306.03690000182,confidence_dispatch,"{""SuperGlue"": 277, ""LoFTR"": 59, ""failed"": 20}"
Confidence dispatch max10 + cache,True,356,336,0.9438202247191011,267.24048960671286,159.7662058988393,107.47428370787351,135,0.3792134831460674,4.932584269662922,0.952247191011236,2020,20145.570799994857,confidence_dispatch,"{""SuperGlue"": 276, ""LoFTR"": 60, ""failed"": 20}"
Confidence then fixed + cache,True,356,347,0.9747191011235955,420.4758783708071,183.0711393258612,237.40473904494587,136,0.38202247191011235,4.935393258426966,2.193820224719101,2020,20257.09620000862,confidence_then_fixed,"{""SuperGlue"": 277, ""LoFTR"": 70, ""failed"": 9}"
Confidence then fixed strict + cache,True,356,347,0.9747191011235955,406.03523202246305,168.8911154494294,237.14411657303364,136,0.38202247191011235,5.154494382022472,2.297752808988764,2020,20468.125299992607,confidence_then_fixed,"{""SuperGlue"": 281, ""LoFTR"": 66, ""failed"": 9}"
